UUID,Subject,Product,Review
436cb501-385a-4890-afbf-deb73833d7c6,Estilo refleja nuestra marca,80f3822f-2304-4f45-8c26-13b1a9deea88,"El estilo refleja perfectamente nuestra marca-fiel a su esencia, esencial, y hecho para durar."
6b13f754-c3ad-4770-92ab-83e46e35d97a,invitando a los huéspedes,80f3822f-2304-4f45-8c26-13b1a9deea88,No puedo esperar para invitar a los clientes y clientes potenciales a nuestra oficina.
39d3af0d-10e8-4922-9069-35f372b0bada,Extensión de nuestro equipo,80f3822f-2304-4f45-8c26-13b1a9deea88,"Nuestra oficina es como un miembro extendido de nuestro equipo. Tiene una historia y una vida, y la gente le encanta hablar de ello."
52c85bd7-8197-49a5-9a5b-2bcac19e9b0e,la tecnología de fluidos,558b7e1b-3593-42d3-8e55-dbf688a1a9b5,Nuestra oficina es ahora una extensión de nuestra tecnología de fluidos. Maravillosamente innovador.
230fb192-7ccd-49bd-b2ce-ddee87a7173e,Con visión de futuro,558b7e1b-3593-42d3-8e55-dbf688a1a9b5,Es emocionante trabajar en un espacio como visión de futuro como nuestra propia empresa.
4b75082f-e403-4c03-a7f6-abc093537fbc,Detalle e Innovación,558b7e1b-3593-42d3-8e55-dbf688a1a9b5,La atención al detalle y la innovación ha superado nuestras expectativas.
3def4445-7277-4e16-b0e6-b7c7394835de,Sencillez,a5cccb33-7d53-4c07-b65b-b22762e73ba9,"La mejor experiencia de usuario requiere simplicidad, por lo que más de sentido que nuestra oficina debe reflejar nuestros valores fundamentales."
53a997ae-29f6-444c-ab9e-d3dce06c6205,Exactamente lo que necesitamos,a5cccb33-7d53-4c07-b65b-b22762e73ba9,Exactamente lo que necesitábamos. El diseño perfecto.
f94b9506-396c-4336-9fce-3b68d7ec3ae7,Que mas,a5cccb33-7d53-4c07-b65b-b22762e73ba9,¿Quién podría pedir algo más?
8035673d-6d8f-4ca5-b0b2-99fc8c19f26d,increíblemente satisfecho,24c573a5-8912-450e-8046-42325f407504,Es una gran satisfacción con el estilo de una oficina con muebles que se ve muy bien y hace que el mundo sea más seguro para nosotros.
c0fe2fba-9329-45ec-9329-d4c00a2316ed,Queremos más,24c573a5-8912-450e-8046-42325f407504,"Queremos ser una empresa que es de alrededor de 100 años, y que comienza con la forma en que tratamos a nuestro mundo. La colección de estilo respetuoso del medio ambiente es perfecto."
0ae56051-44ee-4e13-83d3-582512229346,Asombroso,24c573a5-8912-450e-8046-42325f407504,La gente se sorprende de que nuestros muebles lata mira esta increíble y todavía certificación LEED.
