UUID,Product,Rating,Reviewer,Subject,Review
cc36b48d-36d9-408b-a52f-41614ab81486,e51b6b57-87b8-4fe2-bf43-b39cfef5f6f8,4.5,jennifer_kappel,Style reflects our brand,"The style perfectly reflects our brand—true to its core, essential, and made to last."
c9f0712e-7668-4afc-99b7-3b31043b4301,e51b6b57-87b8-4fe2-bf43-b39cfef5f6f8,4.0,marc_rust,Inviting guests,I can’t wait to invite clients and prospects to our office.
c28c804f-c258-4898-be13-ec36f453be54,e51b6b57-87b8-4fe2-bf43-b39cfef5f6f8,5.0,alex_angstrom,Extension of our team,"Our office is like an extended member of our team. It has a history and a life, and people love to talk about it."
ce770fba-0856-4bc3-b994-a865efb84f4e,3c5bc207-8645-42c9-a985-5bda3f47affd,4.5,jennifer_kappel,Fluid technology,Our office is now a fluid extension of our technology. Wonderfully innovative.
c84edbec-41eb-4742-ae06-c3755f0d35a4,3c5bc207-8645-42c9-a985-5bda3f47affd,5.0,marc_rust,Forward-thinking,It’s exciting to work in a space as forward-thinking as our company itself.
c47280b5-9e64-411e-88e4-a939e57152ff,3c5bc207-8645-42c9-a985-5bda3f47affd,5.0,alex_angstrom,Detail and Innovation,The attention to detail and innovation has surpassed our expectations.
c203f66d-0519-4263-9de0-99b6ff74c32c,8bde16b8-d2b1-410f-94e0-20772eba1f66,5.0,jennifer_kappel,Simplicity,"The best user experience requires simplicity, so it more than makes sense that our office should reflect our core values."
cb830ec9-a911-43a0-9e53-d578be80af00,8bde16b8-d2b1-410f-94e0-20772eba1f66,5.0,marc_rust,Exactly what we need,Exactly what we needed. Perfect design.
cb887808-7be9-4959-8ec4-aecc3238992e,8bde16b8-d2b1-410f-94e0-20772eba1f66,5.0,alex_angstrom,What more,Who could ask for anything more?
c9e6aab3-7df4-4c3a-91eb-536bf2536f38,fd8b5e13-dbc8-4585-8bb5-c41f81937279,4.5,jennifer_kappel,Incredibly satisfied,It’s incredibly satisfying to style an office with furniture that looks great and makes the world safer for us.
