UUID,UID,Title,Body,Stores,Variations,Media,Tags,Types,Featured
e51b6b57-87b8-4fe2-bf43-b39cfef5f6f8,1,Salix,"<p>The base of the Salix desk is made from sustainable bamboo grown without pesticides or fertilizers, and its beautiful color comes only from the kiln, not from any chemical dyes or stains.The desktop is an industry-leading lifting capacity of 200 lbs. </p><ul><li>Height from 23.25"" to 48.75""(without top)</li><li>Truly sustainable: fully mature trees in 5 years</li><li>Built in the USA</li><li>200lb lifting capacity</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"e73d115c-c74e-45ac-930c-ac3cc2a98846,02eb7f04-b7f9-4f51-971d-516b7c444f49",eco-table-a-white-1.jpg,eco,desk,1
3c5bc207-8645-42c9-a985-5bda3f47affd,1,Taxus,"<p>This desk features a waxed durable top with industrial accents. It combines reclaimed elements while retaining function and durability. No piece is the same and each one can be made to order. Each board is hand selected for unique character and each piece is built by hand using local materials and timeless techniques.</p><ul><li>Handmade item</li><li>30"" H x 47.48"" W x 23.5"" D</li><li>Recycled: Yes</li><li>Style: Industrial & utility</li><li>Materials: Wood, Steel, Natural Wax</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"91268464-d12a-480f-b58a-cd6052ff7c9a,d7e5ce71-c0e3-4a58-8693-7b5cf3db9d04",eco-table-b-black-1.jpg,eco,desk,1
8bde16b8-d2b1-410f-94e0-20772eba1f66,1,Frax,"<p>Inspired by the Mid-Century, the Frax Chair packs exceptionally good looks and resourceful materials into one sleek piece of furniture. An angled body and dramatic legs that morph into shapely arms the Frax geometric silhouette is both low-slung and small-scale.</p><ul><li> 27.4""""w x 30.6""D x 30""H</li><li>Wood legs in a light finish</li><li>Upholstered tight seat and back cushions</li><li>Imported</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"56380e4e-82e1-40fe-bad5-6c838d449ee9,d4afbae0-936e-491b-b869-79c26430e94f",eco-chair-a-blue-1.jpg,eco,chair,1
fd8b5e13-dbc8-4585-8bb5-c41f81937279,1,Populus,"<p>Inspired by the Mid-Century, the Populus Chair packs exceptionally good looks and resourceful materials into one sleek piece of furniture.</p><p> An angled body and dramatic legs that morph into shapely arms the Populus geometric silhouette is both low-slung and small-scale.</p><ul>16.1""W x 21""D x 35""H</li><li>Solid wood construction</li><li>Built in the USA</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"ee7d0fbc-b5ba-4046-9eef-d716f32f4bac,e525f760-248b-4c1d-bdca-41531fde7b5b",eco-chair-b-black-1.jpg,eco,chair,1
c13b15c0-7407-4790-9cab-b6640e6a965c,1,Larix,"<p>Decorate your home with these unique hanging lanterns. These lamp shades are handcrafted in Southeast Asia and woven from bamboo. Lanterns come in a variety of different shapes colors.</p><ul><li>Number of Lights: 3</li><li>Replaceable Bulb Included: No</li><li>Bulb Type: Incandescent</li><li>Wattage: 60""</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"52e0b48a-711d-4fc4-9ddf-57bbc6ec5fc7,20371d8b-c8d1-4448-a5aa-e26bf4c11ed5",eco-light-a-silver-1.jpg,eco,lighting,1
25558824-979f-4d53-b0c8-15f1294b8f0d,1,Omorika,"<p>Hand-carved wood gives the Omorika floor lamp the warmth of salvaged architectural elements. This piece has a slightly weathered look that reflects a casual agricultural style.</p><ul><li>Overall: 9.5"" diameter, 65"" high</li><li>Ash legs stained in a natural finish; cotton blend shade (not inclduded).</li><li>Polished steel hardware.</li><li>Imported.</li><li>Wattage: 150</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"b0327d13-93f5-45df-baca-b5fa986b69db,f41f2ecd-e29f-457e-a3b5-a9cdd56143ef",eco-light-b-black-1.jpg,eco,lighting,0
2e0f48e4-474c-40d3-b7f8-e0c2f4a201da,1,Cordata book shelf,"<p>Made from unfinished reclaimed pine, our Reclaimed Pine Floating Shelf is wide enough for books, frames and vases, while its one-of-a-kind wood finish gives home offices a rustic, workshop feel.</p><ul><li>Handmade item</li><li>Craft: Woodworking & carpentry</li><li>Materials: wood, screws, nails, stain</li><li>36"" x 46.5""</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"bfde1257-d104-4ec8-bac7-b8a8ce4f29dd,22f16463-c8f8-46f4-bc64-55c27a1fa8be",eco-conference-a-wood-1.jpg,eco,conference,0
345957de-c7db-4e8f-ad35-c794d81058f5,1,Sativa Cork Board,<p>Replace your traditional rectangular message boards with our hexagon cork boards for an easy way to refresh to your work space. These six-sided push pin hexagon cork boards come with pins and adhesive tabs to easily mount to walls. Cork boards are curated from 100% natural cork.</p><ul><li>Hexagonal design</li><li>24"" H x 24""</li><li>Assembly required</li><li>Material: 100% recycled cork</li></ul>,358c5520-273b-443f-8c3e-842702d5c751,"c12c9dac-5a63-427a-8c24-ace294383e2f,95a3f10c-d3bb-4336-801d-abbab80eaef4",eco-conference-b-wood-1.jpg,eco,conference,0
a5757f3b-483c-4ee7-af12-5d8ef34e8a19,1,Impulse,"<p>The Impulse lounge chair makes for the perfect addition to your living room. Relax in style with this handcrafted chair made from acacia wood and a velvet upholstered cushion for maxiumum comfort.</p><ul><li>Handcrafted wood frame</li><li>32"" H x 24"" L</li><li>Materials: Darkened acacia wood, velvet upholstery</li><li>Imported from Italy</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"906ae2d3-0416-4e21-aa46-8a9edbf2433c,7f090f9f-cd1a-43e7-b02d-e7c2cdc07b34",tec-chair-a-blue-1.jpg,iot,chair,0
d52374ed-d793-4b52-93a0-71a86f8dcff5,1,Ascend,"<p>The stylish Ascend chair looks sleek in any environment. Customize upholstery to a color that matches your mood. Kickback and easily recline in hidden footrest.</p><ul><li>Material: 100% leather</li><li>Imported from Italy</li><li>35"" H x 32"" W</li><li>Customizable color</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"7e9c724d-ed67-44d4-93e3-c362a17eb5e6,a2709a69-a1ee-4d5c-a726-2736a52b20e0",tec-chair-b-blue-1.jpg,iot,chair,1
4c2b074e-ec64-4aa3-a1af-2bf0f28e0dca,1,Encompass,"<p>Immediately modernize your workspace with the Encompass desk. Handcrafted with light, birch wood. Easily store items under the desk while still looking stylish. </p><ul><li>Material: Light birch wood</li><li>4' L x 2'6"" W x 3' H</li><li>Handcrafted in the USA</li><li></li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"c2f8e0b6-3c40-43bb-b788-b79ab08ddb7d,17d2199c-1960-469e-9e4b-ea37ea3c168b",tec-table-a-black-1.jpg,iot,desk,1
ea6dd88a-2c27-44cd-bdf0-9d9871dda709,1,Spectrum,"<p>The Spectrum desk is the newest innovation by Obio. This modern design eliminates the fuss of annoying table legs. Easy assembly.</p><ul><li>Material: Wood, steel</li><li>Customizable height; 2' 4"" W</li><li>Crafted in the USA</li></ul>",358c5520-273b-443f-8c3e-842702d5c751,"d27148dd-d525-43b7-a269-35fa8167344c,fc4f5623-4403-482c-9fb9-48ccfb0d2b8e",tec-table-b-white-1.jpg,iot,desk,0
